LegalEntity,Period,MainAccount,Amount,Currency
DE01,2025-07,2000,154872.63,USD
DE01,2025-07,2100,67647.96,USD
DE01,2025-07,2500,529921.9,USD
DE01,2025-07,3000,436000.0,USD
DE01,2025-07,3900,1525840.66,USD
DE01,2025-08,1000,1671293.62,USD
DE01,2025-08,1200,217573.04,USD
DE01,2025-08,1500,990140.0,USD
DE01,2025-08,2000,153918.86,USD
DE01,2025-08,2100,68610.06,USD
DE01,2025-08,2500,527802.22,USD
DE01,2025-08,3000,436000.0,USD
DE01,2025-08,3900,1692675.52,USD
DE01,2025-09,1000,1835587.29,USD
DE01,2025-09,1200,220170.22,USD
DE01,2025-09,1500,991133.66,USD
DE01,2025-09,2000,153918.32,USD
DE01,2025-09,2100,69179.86,USD
DE01,2025-09,2500,525691.01,USD
DE01,2025-09,3000,436000.0,USD
DE01,2025-09,3900,1862101.98,USD
DE01,2025-10,1000,1997427.31,USD
DE01,2025-10,1200,221014.28,USD
DE01,2025-10,1500,992151.89,USD
DE01,2025-10,2000,155702.11,USD
DE01,2025-10,2100,70341.99,USD
DE01,2025-10,2500,523588.24,USD
DE01,2025-10,3000,436000.0,USD
DE01,2025-10,3900,2024961.13,USD
DE01,2025-11,1000,2163028.17,USD
DE01,2025-11,1200,227772.33,USD
DE01,2025-11,1500,993291.23,USD
DE01,2025-11,2000,154107.57,USD
DE01,2025-11,2100,72975.03,USD
DE01,2025-11,2500,521493.89,USD
DE01,2025-11,3000,436000.0,USD
DE01,2025-11,3900,2199515.24,USD
DE01,2025-12,1000,2353578.49,USD
DE01,2025-12,1200,223916.06,USD
DE01,2025-12,1500,994421.39,USD
DE01,2025-12,2000,155228.11,USD
DE01,2025-12,2100,74063.34,USD
DE01,2025-12,2500,519407.92,USD
DE01,2025-12,3000,436000.0,USD
DE01,2025-12,3900,2387216.57,USD
DE02,2025-01,1000,356021.51,USD
DE02,2025-01,1200,199042.98,USD
DE02,2025-01,1500,981555.74,USD
DE02,2025-01,2000,152543.25,USD
DE02,2025-01,2100,65691.88,USD
DE02,2025-01,2500,542820.0,USD
DE02,2025-01,3000,436000.0,USD
DE02,2025-01,3900,339565.09,USD
DE02,2025-02,1000,453846.49,USD
DE02,2025-02,1200,199563.97,USD
DE02,2025-02,1500,982172.13,USD
DE02,2025-02,2000,152569.84,USD
DE02,2025-02,2100,67041.48,USD
DE02,2025-02,2500,540648.72,USD
DE02,2025-02,3000,436000.0,USD
DE02,2025-02,3900,439322.55,USD
DE02,2025-03,1000,551068.74,USD
DE02,2025-03,1200,202635.02,USD
DE02,2025-03,1500,982790.3,USD
DE02,2025-03,2000,152337.57,USD
DE02,2025-03,2100,68441.08,USD
DE02,2025-03,2500,538486.13,USD
DE02,2025-03,3000,436000.0,USD
DE02,2025-03,3900,541229.29,USD
DE02,2025-04,1000,647060.23,USD
DE02,2025-04,1200,205556.92,USD
DE02,2025-04,1500,983424.34,USD
DE02,2025-04,2000,155869.72,USD
DE02,2025-04,2100,69570.71,USD
DE02,2025-04,2500,536332.18,USD
DE02,2025-04,3000,436000.0,USD
DE02,2025-04,3900,638268.88,USD
DE02,2025-05,1000,742077.09,USD
DE02,2025-05,1200,205069.93,USD
DE02,2025-05,1500,984100.57,USD
DE02,2025-05,2000,155969.27,USD
DE02,2025-05,2100,70818.0,USD
DE02,2025-05,2500,534186.85,USD
DE02,2025-05,3000,436000.0,USD
DE02,2025-05,3900,734273.47,USD
DE02,2025-06,1000,840441.83,USD
DE02,2025-06,1200,208901.04,USD
DE02,2025-06,1500,984830.87,USD
DE02,2025-06,2000,157417.01,USD
DE02,2025-06,2100,71435.33,USD
DE02,2025-06,2500,532050.1,USD
DE02,2025-06,3000,436000.0,USD
DE02,2025-06,3900,837271.29,USD
DE02,2025-07,1000,932268.69,USD
DE02,2025-07,1200,214734.04,USD
DE02,2025-07,1500,985405.09,USD
DE02,2025-07,2000,157438.09,USD
DE02,2025-07,2100,72482.43,USD
DE02,2025-07,2500,529921.9,USD
DE02,2025-07,3000,436000.0,USD
DE02,2025-07,3900,936565.4,USD
DE02,2025-08,1000,1030304.13,USD
DE02,2025-08,1200,216127.46,USD
DE02,2025-08,1500,985979.39,USD
DE02,2025-08,2000,158393.88,USD
DE02,2025-08,2100,74081.2,USD
DE02,2025-08,2500,527802.22,USD
DE02,2025-08,3000,436000.0,USD
DE02,2025-08,3900,1036133.68,USD
DE02,2025-09,1000,1121002.09,USD
DE02,2025-09,1200,220603.71,USD
DE02,2025-09,1500,986532.61,USD
DE02,2025-09,2000,161927.66,USD
DE02,2025-09,2100,75886.68,USD
DE02,2025-09,2500,525691.01,USD
DE02,2025-09,3000,436000.0,USD
DE02,2025-09,3900,1128633.06,USD
DE02,2025-10,1000,1208956.9,USD
DE02,2025-10,1200,222666.72,USD
DE02,2025-10,1500,987106.73,USD
DE02,2025-10,2000,165132.54,USD
DE02,2025-10,2100,76076.42,USD
DE02,2025-10,2500,523588.24,USD
DE02,2025-10,3000,436000.0,USD
DE02,2025-10,3900,1217933.15,USD
DE02,2025-11,1000,1303831.3,USD
DE02,2025-11,1200,225639.22,USD
DE02,2025-11,1500,987689.97,USD
DE02,2025-11,2000,166307.18,USD
DE02,2025-11,2100,76673.41,USD
DE02,2025-11,2500,521493.89,USD
DE02,2025-11,3000,436000.0,USD
DE02,2025-11,3900,1316686.0,USD
DE02,2025-12,1000,1399662.5,USD
DE02,2025-12,1200,229424.69,USD
DE02,2025-12,1500,988402.01,USD
DE02,2025-12,2000,165761.63,USD
DE02,2025-12,2100,79265.8,USD
DE02,2025-12,2500,519407.92,USD
DE02,2025-12,3000,436000.0,USD
DE02,2025-12,3900,1417053.86,USD
US01,2025-01,1000,496775.3,USD
US01,2025-01,1200,208981.95,USD
US01,2025-01,1500,1051227.77,USD
US01,2025-01,2000,158464.53,USD
US01,2025-01,2100,69658.11,USD
US01,2025-01,2500,557760.0,USD
US01,2025-01,3000,450000.0,USD
US01,2025-01,3900,521102.38,USD
US01,2025-02,1000,699963.53,USD
US01,2025-02,1200,213356.94,USD
US01,2025-02,1500,1052487.87,USD
US01,2025-02,2000,161524.83,USD
US01,2025-02,2100,70786.46,USD
US01,2025-02,2500,555528.96,USD
US01,2025-02,3000,450000.0,USD
US01,2025-02,3900,727968.09,USD
US01,2025-03,1000,900047.32,USD
US01,2025-03,1200,215320.2,USD
US01,2025-03,1500,1053733.62,USD
US01,2025-03,2000,160781.69,USD
US01,2025-03,2100,71362.26,USD
US01,2025-03,2500,553306.84,USD
US01,2025-03,3000,450000.0,USD
US01,2025-03,3900,933650.34,USD
US01,2025-04,1000,1113052.76,USD
US01,2025-04,1200,215288.71,USD
US01,2025-04,1500,1055077.72,USD
US01,2025-04,2000,164719.49,USD
US01,2025-04,2100,71715.2,USD
US01,2025-04,2500,551093.62,USD
US01,2025-04,3000,450000.0,USD
US01,2025-04,3900,1145890.88,USD
US01,2025-05,1000,1326762.11,USD
US01,2025-05,1200,214812.22,USD
US01,2025-05,1500,1056503.97,USD
US01,2025-05,2000,165416.03,USD
US01,2025-05,2100,72628.14,USD
US01,2025-05,2500,548889.24,USD
US01,2025-05,3000,450000.0,USD
US01,2025-05,3900,1361144.9,USD
US01,2025-06,1000,1554919.25,USD
US01,2025-06,1200,215121.05,USD
US01,2025-06,1500,1058192.45,USD
US01,2025-06,2000,164860.48,USD
US01,2025-06,2100,73371.82,USD
US01,2025-06,2500,546693.69,USD
US01,2025-06,3000,450000.0,USD
US01,2025-06,3900,1593306.76,USD
US01,2025-07,1000,1759713.75,USD
US01,2025-07,1200,217855.94,USD
US01,2025-07,1500,1059507.19,USD
US01,2025-07,2000,165093.12,USD
US01,2025-07,2100,73400.78,USD
US01,2025-07,2500,544506.91,USD
US01,2025-07,3000,450000.0,USD
US01,2025-07,3900,1804076.08,USD
US01,2025-08,1000,1961165.59,USD
US01,2025-08,1200,220552.09,USD
US01,2025-08,1500,1060703.0,USD
US01,2025-08,2000,162972.91,USD
US01,2025-08,2100,72493.32,USD
US01,2025-08,2500,542328.88,USD
US01,2025-08,3000,450000.0,USD
US01,2025-08,3900,2014625.58,USD
US01,2025-09,1000,2157837.64,USD
US01,2025-09,1200,220396.76,USD
US01,2025-09,1500,1061921.16,USD
US01,2025-09,2000,163939.29,USD
US01,2025-09,2100,73304.23,USD
US01,2025-09,2500,540159.57,USD
US01,2025-09,3000,450000.0,USD
US01,2025-09,3900,2212752.48,USD
US01,2025-10,1000,2357141.74,USD
US01,2025-10,1200,226822.83,USD
US01,2025-10,1500,1063218.55,USD
US01,2025-10,2000,167583.44,USD
US01,2025-10,2100,73644.29,USD
US01,2025-10,2500,537998.93,USD
US01,2025-10,3000,450000.0,USD
US01,2025-10,3900,2417956.46,USD
US01,2025-11,1000,2551186.84,USD
US01,2025-11,1200,228765.78,USD
US01,2025-11,1500,1064409.99,USD
US01,2025-11,2000,166577.11,USD
US01,2025-11,2100,74125.78,USD
US01,2025-11,2500,535846.93,USD
US01,2025-11,3000,450000.0,USD
US01,2025-11,3900,2617812.79,USD
US01,2025-12,1000,2762681.59,USD
US01,2025-12,1200,229899.81,USD
US01,2025-12,1500,1065797.7,USD
US01,2025-12,2000,168883.91,USD
US01,2025-12,2100,73798.55,USD
US01,2025-12,2500,533703.55,USD
US01,2025-12,3000,450000.0,USD
US01,2025-12,3900,2831993.09,USD
