LegalEntity ,Period,MainAccount,CostCenter,Amount,Currency
DE02,2025-01,6030,CC300,4939.48,EUR
DE02,2025-01,6040,CC300,3903.07,EUR
DE02,2025-01,7000,CC200,5098.5,EUR
DE02,2025-01,8000,,2536.94,EUR
DE02,2025-02,4000,,197183.28,EUR
DE02,2025-02,4010,,84507.12,EUR
DE02,2025-02,5000,CC200,90140.93,EUR
DE02,2025-02,5010,CC200,16901.42,EUR
DE02,2025-02,6000,CC300,43488.37,EUR
DE02,2025-02,6010,CC100,13853.77,EUR
DE02,2025-02,6020,CC400,6904.19,EUR
DE02,2025-02,6030,CC300,5221.55,EUR
DE02,2025-02,6040,CC300,4287.92,EUR
DE02,2025-02,7000,CC200,5707.34,EUR
DE02,2025-02,8000,,2816.9,EUR
DE02,2025-03,4000,,200108.13,EUR
DE02,2025-03,4010,,85760.63,EUR
DE02,2025-03,5000,CC200,91478.0,EUR
DE02,2025-03,5010,CC200,17152.13,EUR
DE02,2025-03,6000,CC300,45202.51,EUR
DE02,2025-03,6010,CC100,13281.91,EUR
DE02,2025-03,6020,CC400,6996.41,EUR
DE02,2025-03,6030,CC300,5619.4,EUR
DE02,2025-03,6040,CC300,4116.02,EUR
DE02,2025-03,7000,CC200,5671.27,EUR
DE02,2025-03,8000,,2858.69,EUR
DE02,2025-04,4000,,207672.48,EUR
DE02,2025-04,4010,,89002.49,EUR
DE02,2025-04,5000,CC200,94935.99,EUR
DE02,2025-04,5010,CC200,17800.5,EUR
DE02,2025-04,6000,CC300,51944.67,EUR
DE02,2025-04,6010,CC100,14963.23,EUR
DE02,2025-04,6020,CC400,7512.39,EUR
DE02,2025-04,6030,CC300,5911.41,EUR
DE02,2025-04,6040,CC300,4023.19,EUR
DE02,2025-04,7000,CC200,5925.63,EUR
DE02,2025-04,8000,,2966.75,EUR
DE02,2025-05,4000,,207302.32,EUR
DE02,2025-05,4010,,88843.85,EUR
DE02,2025-05,5000,CC200,94766.78,EUR
DE02,2025-05,5010,CC200,17768.77,EUR
DE02,2025-05,6000,CC300,53219.23,EUR
DE02,2025-05,6010,CC100,14664.89,EUR
DE02,2025-05,6020,CC400,7515.28,EUR
DE02,2025-05,6030,CC300,5912.64,EUR
DE02,2025-05,6040,CC300,4182.62,EUR
DE02,2025-05,7000,CC200,6261.37,EUR
DE02,2025-05,8000,,2961.46,EUR
DE02,2025-06,4000,,209430.76,EUR
DE02,2025-06,4010,,89756.04,EUR
DE02,2025-06,5000,CC200,95739.77,EUR
DE02,2025-06,5010,CC200,17951.21,EUR
DE02,2025-06,6000,CC300,49763.22,EUR
DE02,2025-06,6010,CC100,14279.15,EUR
DE02,2025-06,6020,CC400,8004.29,EUR
DE02,2025-06,6030,CC300,5564.32,EUR
DE02,2025-06,6040,CC300,4619.49,EUR
DE02,2025-06,7000,CC200,6639.09,EUR
DE02,2025-06,8000,,2991.87,EUR
DE02,2025-07,4000,,194724.55,EUR
DE02,2025-07,4010,,83453.38,EUR
DE02,2025-07,5000,CC200,89016.94,EUR
DE02,2025-07,5010,CC200,16690.68,EUR
DE02,2025-07,6000,CC300,43248.22,EUR
DE02,2025-07,6010,CC100,13978.2,EUR
DE02,2025-07,6020,CC400,6779.38,EUR
DE02,2025-07,6030,CC300,5132.2,EUR
DE02,2025-07,6040,CC300,4186.97,EUR
DE02,2025-07,7000,CC200,5268.05,EUR
DE02,2025-07,8000,,2781.78,EUR
DE02,2025-08,4000,,198323.64,EUR
DE02,2025-08,4010,,84995.85,EUR
DE02,2025-08,5000,CC200,90662.24,EUR
DE02,2025-08,5010,CC200,16999.17,EUR
DE02,2025-08,6000,CC300,43247.19,EUR
DE02,2025-08,6010,CC100,15263.79,EUR
DE02,2025-08,6020,CC400,6805.6,EUR
DE02,2025-08,6030,CC300,5575.14,EUR
DE02,2025-08,6040,CC300,4422.66,EUR
DE02,2025-08,7000,CC200,5317.66,EUR
DE02,2025-08,8000,,2833.19,EUR
DE02,2025-09,4000,,192889.63,EUR
DE02,2025-09,4010,,82666.99,EUR
DE02,2025-09,5000,CC200,88178.12,EUR
DE02,2025-09,5010,CC200,16533.4,EUR
DE02,2025-09,6000,CC300,46970.59,EUR
DE02,2025-09,6010,CC100,12670.45,EUR
DE02,2025-09,6020,CC400,6952.51,EUR
DE02,2025-09,6030,CC300,5582.74,EUR
DE02,2025-09,6040,CC300,4294.93,EUR
DE02,2025-09,7000,CC200,5170.28,EUR
DE02,2025-09,8000,,2755.57,EUR
DE02,2025-10,4000,,182232.73,EUR
DE02,2025-10,4010,,78099.74,EUR
DE02,2025-10,5000,CC200,83306.39,EUR
DE02,2025-10,5010,CC200,15619.95,EUR
DE02,2025-10,6000,CC300,42740.22,EUR
DE02,2025-10,6010,CC100,13209.91,EUR
DE02,2025-10,6020,CC400,6589.83,EUR
DE02,2025-10,6030,CC300,5296.84,EUR
DE02,2025-10,6040,CC300,3772.21,EUR
DE02,2025-10,7000,CC200,5267.11,EUR
DE02,2025-10,8000,,2603.32,EUR
DE02,2025-11,4000,,195083.97,EUR
DE02,2025-11,4010,,83607.42,EUR
DE02,2025-11,5000,CC200,89181.25,EUR
DE02,2025-11,5010,CC200,16721.48,EUR
DE02,2025-11,6000,CC300,42997.95,EUR
DE02,2025-11,6010,CC100,15234.51,EUR
DE02,2025-11,6020,CC400,7132.35,EUR
DE02,2025-11,6030,CC300,5241.82,EUR
DE02,2025-11,6040,CC300,4317.6,EUR
DE02,2025-11,7000,CC200,5302.19,EUR
DE02,2025-11,8000,,2786.91,EUR
DE02,2025-12,4000,,205068.91,EUR
DE02,2025-12,4010,,87886.68,EUR
DE02,2025-12,5000,CC200,93745.79,EUR
DE02,2025-12,5010,CC200,17577.34,EUR
DE02,2025-12,6000,CC300,49588.23,EUR
DE02,2025-12,6010,CC100,14046.72,EUR
DE02,2025-12,6020,CC400,7676.67,EUR
DE02,2025-12,6030,CC300,5980.04,EUR
DE02,2025-12,6040,CC300,4574.95,EUR
DE02,2025-12,7000,CC200,6414.79,EUR
DE02,2025-12,8000,,2929.56,EUR
US01,2025-01,4000,,423856.58,USD
US01,2025-01,4010,,181652.82,USD
US01,2025-01,5000,CC200,193763.01,USD
US01,2025-01,5010,CC200,36330.56,USD
US01,2025-01,6000,CC300,93230.35,USD
us01,2025-01,6010,CC100,28928.95,USD
US01,2025-01,6020,CC400,14520.26,USD
US01,2025-01,6030,CC300,12063.5,USD
US01,2025-01,6040,CC300,9237.57,USD
US01,2025-01,7000,CC200,12277.73,USD
US01,2025-01,8000,,6055.09,USD
US01,2025-02,4000,,460782.99,USD
US01,2025-02,4010,,197478.43,USD
US01,2025-02,5000,CC200,210643.65,USD
US01,2025-02,5010,CC200,39495.69,USD
US01,2025-02,6000,CC300,105390.3,USD
US01,2025-02,6010,CC100,35305.08,USD
US01,2025-02,6020,CC400,16238.77,USD
US01,2025-02,6030,CC300,14955.81,USD
US01,2025-02,6040,CC300,10182.81,USD
US01,2025-02,7000,CC200,12600.99,USD
US01,2025-02,8000,,6582.61,USD
US01,2025-03,4000,,455287.31,USD
US01,2025-03,4010,,195123.13,USD
US01,2025-03,5000,CC200,208131.34,USD
US01,2025-03,5010,CC200,39024.63,USD
us01,2025-03,6000,CC300,106576.11,USD
US01,2025-03,6010,CC100,32157.17,USD
US01,2025-03,6020,CC400,16840.75,USD
US01,2025-03,6030,CC300,13316.01,USD
US01,2025-03,6040,CC300,9720.63,USD
US01,2025-03,7000,CC200,12457.45,USD
US01,2025-03,8000,,6504.1,USD
us01,2025-04,4000,,461544.35,USD
US01,2025-04,4010,,197804.72,USD
US01,2025-04,5000,CC200,210991.7,USD
US01,2025-04,5010,CC200,39560.94,USD
US01,2025-04,6000,CC300,103140.58,USD
US01,2025-04,6010,CC100,34379.12,USD
US01,2025-04,6020,CC400,16660.18,USD
US01,2025-04,6030,CC300,12365.6,USD
US01,2025-04,6040,CC300,9975.88,USD
US01,2025-04,7000,CC200,13441.04,USD
US01,2025-04,8000,,6593.49,USD
US01,2025-05,4000,,473543.75,USD
US01,2025-05,4010,,202947.32,USD
US01,2025-05,5000,CC200,216477.14,USD
US01,2025-05,5010,CC200,40589.46,USD
US01,2025-05,6000,CC300,109070.52,USD
US01,2025-05,6010,CC100,33923.0,USD
US01,2025-05,6020,CC400,15945.77,USD
US01,2025-05,6030,CC300,13771.86,USD
US01,2025-05,6040,CC300,10431.89,USD
US01,2025-05,7000,CC200,14262.5,USD
US01,2025-05,8000,,6764.91,USD
US01,2025-06,4000,,495513.74,USD
US01,2025-06,4010,,212363.03,USD
US01,2025-06,5000,CC200,226520.57,USD
US01,2025-06,5010,CC200,42472.61,USD
US01,2025-06,6000,CC300,105458.52,USD
us01,2025-06,6010,CC100,33734.18,USD
US01,2025-06,6020,CC400,18152.65,USD
US01,2025-06,6030,CC300,14521.23,USD
US01,2025-06,6040,CC300,10891.59,USD
US01,2025-06,7000,CC200,16884.79,USD
US01,2025-06,8000,,7078.77,USD
US01,2025-07,4000,,478655.81,USD
US01,2025-07,4010,,205138.2,USD
US01,2025-07,5000,CC200,218814.08,USD
US01,2025-07,5010,CC200,41027.64,USD
US01,2025-07,6000,CC300,115618.99,USD
US01,2025-07,6010,CC100,35820.55,USD
US01,2025-07,6020,CC400,17651.62,USD
US01,2025-07,6030,CC300,13460.3,USD
US01,2025-07,6040,CC300,10646.14,USD
US01,2025-07,7000,CC200,13147.43,USD
US01,2025-07,8000,,6837.94,USD
US01,2025-08,4000,,455241.88,USD
us01,2025-08,4010,,195103.66,USD
US01,2025-08,5000,CC200,208110.57,USD
US01,2025-08,5010,CC200,39020.73,USD
US01,2025-08,6000,CC300,101530.05,USD
US01,2025-08,6010,CC100,32650.39,USD
US01,2025-08,6020,CC400,18140.3,USD
US01,2025-08,6030,CC300,11792.54,USD
US01,2025-08,6040,CC300,10089.91,USD
US01,2025-08,7000,CC200,11958.09,USD
US01,2025-08,8000,,6503.46,USD
US01,2025-09,4000,,442514.44,USD
US01,2025-09,4010,,189649.05,USD
US01,2025-09,5000,CC200,202292.32,USD
US01,2025-09,5010,CC200,37929.81,USD
US01,2025-09,6000,CC300,106653.32,USD
US01,2025-09,6010,CC100,31709.76,USD
US01,2025-09,6020,CC400,14952.45,USD
US01,2025-09,6030,CC300,12191.08,USD
US01,2025-09,6040,CC300,9804.66,USD
US01,2025-09,7000,CC200,12181.56,USD
US01,2025-09,8000,,6321.63,USD
US01,2025-10,4000,,449891.76,USD
US01,2025-10,4010,,192810.75,USD
US01,2025-10,5000,CC200,205664.8,USD
US01,2025-10,5010,CC200,38562.15,USD
US01,2025-10,6000,CC300,103066.72,USD
us01,2025-10,6010,CC100,31088.16,USD
US01,2025-10,6020,CC400,17789.96,USD
US01,2025-10,6030,CC300,13261.47,USD
US01,2025-10,6040,CC300,8664.36,USD
US01,2025-10,7000,CC200,12973.88,USD
US01,2025-10,8000,,6427.03,USD
US01,2025-11,4000,,443630.51,USD
US01,2025-11,4010,,190127.36,USD
US01,2025-11,5000,CC200,202802.52,USD
US01,2025-11,5010,CC200,38025.47,USD
US01,2025-11,6000,CC300,105723.15,USD
US01,2025-11,6010,CC100,30432.23,USD
US01,2025-11,6020,CC400,15753.05,USD
US01,2025-11,6030,CC300,12995.2,USD
US01,2025-11,6040,CC300,9917.88,USD
US01,2025-11,7000,CC200,11914.46,USD
US01,2025-11,8000,,6337.58,USD
US01,2025-12,4000,,464385.06,USD
US01,2025-12,4010,,199022.17,USD
US01,2025-12,5000,CC200,212290.31,USD
US01,2025-12,5010,CC200,39804.43,USD
US01,2025-12,6000,CC300,103624.5,USD
US01,2025-12,6010,CC100,32086.8,USD
US01,2025-12,6020,CC400,18049.2,USD
US01,2025-12,6030,CC300,13536.81,USD
US01,2025-12,6040,CC300,9323.75,USD
us01,2025-12,7000,CC200,13877.06,USD
US01,2025-12,8000,,6634.07,USD
DE02,2025-04,7000,CC200,5925.63,EUR
US01,2025-09,6020,CC400,14952.45,USD
DE02,2025-11,6030,CC300,5241.82,EUR
US01,2025-01,7000,CC200,12277.73,USD
US01,2025-07,7000,CC200,13147.43,USD
US01,2025-05,6000,CC300,109070.52,USD
DE01,2025-11,6030,CC300,8961.93,EUR
US01,2025-09,8000,,6321.63,USD
DE02,2025-06,5000,CC200,95739.77,EUR
DE01,2025-10,6030,CC300,10137.24,EUR
US01,2025-10,6030,CC300,13261.47,USD
DE02,2025-09,4010,,82666.99,EUR
US01,2025-05,6030,CC300,13771.86,USD
US01,2025-11,4000,,443630.51,USD
us01,2025-08,4010,,195103.66,USD
