LegalEntity,Period,MainAccount,BudgetAmount
US01,2025-06,6030,45090.43
US01,2025-07,6030,44699.66
US01,2025-08,6030,45720.42
US01,2025-09,6030,44835.53
US01,2025-10,6030,44867.8
US01,2025-11,6030,44408.02
US01,2025-12,6030,44682.39
US01,2025-01,6040,45008.71
US01,2025-02,6040,43203.3
US01,2025-03,6040,43527.16
US01,2025-04,6040,45398.31
US01,2025-05,6040,44886.2
US01,2025-06,6040,44568.73
US01,2025-07,6040,44749.83
US01,2025-08,6040,45044.3
US01,2025-09,6040,44250.43
US01,2025-10,6040,44037.01
US01,2025-11,6040,44908.55
US01,2025-12,6040,43858.02
US01,2025-01,7000,45098.58
US01,2025-02,7000,43210.09
US01,2025-03,7000,45654.08
US01,2025-04,7000,45156.15
US01,2025-05,7000,44962.39
US01,2025-06,7000,45612.51
US01,2025-07,7000,46223.38
US01,2025-08,7000,45640.86
US01,2025-09,7000,43086.36
US01,2025-10,7000,43588.54
US01,2025-11,7000,44174.33
US01,2025-12,7000,44756.68
US01,2025-01,8000,6163.15
US01,2025-02,8000,6011.46
US01,2025-03,8000,6122.79
US01,2025-04,8000,6007.84
US01,2025-05,8000,6025.39
US01,2025-06,8000,5928.39
US01,2025-07,8000,5987.37
US01,2025-08,8000,5935.09
US01,2025-09,8000,5980.94
US01,2025-10,8000,6228.54
US01,2025-11,8000,5984.17
US01,2025-12,8000,6421.15
